"HolderAddress","Balance","PendingBalanceUpdate"
"0xbeca516b886931819b51975997ffb9a5d351ce01","61,647.666666666666","No"
"0x711ff4f5397f0939f38ef439880fe6d5b135d7cd","60,673","No"
"0xb42573ddb86b68429c8f791ed0f2b79d2ca95588","59,811.896551724138758621","No"
"0xf8c006e07047e9bd7c1b428a631a4c198f295f6b","55,956.724137931034344827","No"
"0x77e2e22055b915ba0244933e8459ba73f0571883","54,825","No"
"0x292c43055008138db665e395119d5fdd83d56f01","48,733.333333333334","No"
"0x51eedd445f025e75925fbe75494553405e3b644e","46,520.310344827585862068","No"
"0x752087ce92821c631ab223c487b9771a10c3595a","46,520.310344827585862068","No"
"0xf54f4815f62ccc360963329789d62d3497a121ae","46,520.310344827585862068","No"
"0x6528c1ad53da4c73aa876695c05fd77dc7e6b18a","44,258.158815858991515419","No"
"0x26d8c3a25eb504eb24454f3cfd67d951431b755a","43,662.297998631811928592","No"
"0xfb64c602900650f22e8012e1bfd04ee4f446f10a","41,496.241379310344448275","No"
"0x2b6091da312a3591df6a94b24dd3c34d2b01ca22","41,440.241379310344448275","No"
"0x27a4b36bda9a448e429087c3d07159ac443920a4","41,310.137931034482827586","No"
"0xb896cade2604ac1a4b656b01c8019d20e3d1a319","41,310.137931034482827586","No"
"0x3fbc28b37463ae349a26b9bd38c8ab624a3ac8f0","39,449.344827586206068965","No"
"0xf1f299eeb67854fc43565504e3d93cc171f3bac5","39,263.241379310344448275","No"
"0x3d5e9077ef8f9c6b0e10d6c62c1a022a49675cc3","39,077.137931034482827586","No"
"0xb58ddc4f4cfd970f91d3c32cad5f8815dea19579","39,077.137931034482827586","No"
"0x4ac4ec3fa79585de9487561e1ff9aa76ae1a009b","38,146.620689655173724137","No"
"0xd48a9bd19d0b9dc2183be55cd743d8758f781a45","37,774.655172413793931034","No"
"0x34b1c9ef777ead29ddd0d51049d7810b92ee0ebf","37,588.551724137931310344","No"
"0x475681f0e12606cf8f97743c1d4558c06a287840","37,588.551724137931310344","No"
"0x85cc29f41f6e9b8648442000bb1f87e7a12fd99e","37,588.551724137931310344","No"
"0x5a1e174a9d70d764d9314b108bb7e8cbcfe1a792","37,216.344827586206068965","No"
"0x6c45baef46f882ba3f0878feb6dde2ddfcab51a9","37,216.344827586206068965","No"
"0x845a03aa4ec79df7f8a1d2fc013fd2f9034422c2","37,216.344827586206068965","No"
"0xa19a11cb5928bf07b5b6aba256f63142343a59bc","37,216.344827586206068965","No"
"0xbb49c781bd22c93c392a9b1e290501252b598ac3","37,216.344827586206068965","No"
"0xc86863837334e5ca6d4e84963938f6aa47f10a9c","37,216.344827586206068965","No"
"0x44d4e782ba1e649ac5ff0aea253b5e0cba339862","36,476.900000000000666667","No"
"0x11b6715dc95a589f7d52a7b4f3d922f20dcfe3b6","30,318.18","No"
"0x6d28ec87c9ef089adbf6e9c948a582a032937786","28,549.026837301099774683","No"
"0x0cff9e3e8c946d7345e12a5ada67066f34f0800a","27,912.137931034482827586","No"
"0x2237fa4ffe85303d9b6dab520189add9afc00e65","27,389.463223078520737403","No"
"0x6c52c51aa504975027a06cc6f7dbdf9869f5625a","25,431.45","No"
"0xcb2914de7686946fd066015542211eae19cad79b","24,021.028531321843976565","No"
"0x5701068ca0ba0338a5b64e8f59d5ae661e9ecfc0","23,300","No"
"0x176746e6f3be14f7c213dc78049568c698ce73ea","23,029.151601188063164447","No"
"0xce849efc35a0a0a046e67c76b477c5432e4ba58b","22,954.227275332432947584","No"
"0x5603c6c38881f69297df9123c135e81d5a602037","22,173.666666666668","No"
"0xf43f24247cdcc00f999b29aec62ea4037894ab00","21,479.172413793103724138","No"
"0x0ee65723f821372eaa20659ac3a672ad1f8c234a","20,488.893291823910166658","No"
"0x0dd3aa0d06c0ddd99e0184ac31e5ca7fb4e5e342","19,617.014492753623121739","No"
"0x9437fe6385f3551850fd892d471ffbc818cf3116","18,608.172413793103034482","No"
"0x0c74e4e9520c78c706ef81f76cfcc1f105afebd2","16,369.530447743083372301","No"
"0x8772829f649f494759c043d6709a992bf2e99fc3","15,229.166666666667","No"
"0x965ec2820727148b8b4bd5da4a7b23efa03d95cd","14,223.847287353647623521","No"
"0x6d87711fbf914c9431040c56efe684e73093a3f8","13,557.379310345311172414","No"
"0x033f68fd9df6bac726e6651e95ac399dbca3dc58","13,393.103448275863034482","No"
"0x5a3faf5bb66d98b22acdd4cdf81c07658915c267","12,183.333333333333","No"
"0x818921c1fae0a3c733d37dbc951890d216f2822f","12,183.333333333334","No"
"0x92666b451881d6b417ae61e87c662c7d29eecbe6","12,183.333333333333","No"
